original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,catalogue_year,flagged
"London (Jack)—The Mutiny of the Elsinore. Cr. 8vo. 7 X 5, pp. 396, 6s. MILLS & B. Jan. 15",164,172,,London (Jack),The Mutiny of the Elsinore.,Cr. 8vo.,"7 X 5, pp. 396, 6s.",MILLS & B.,Jan. 15,1915,False
"London (Port of)-6th Annual report, 1914-15, 3d. WYMAN, Nov. 15",164,172,,,"London (Port of)-6th Annual report, 1914-15,",,3d.,WYMAN,Nov. 15,1915,False
"London County Council (Gen. Powers) Bill (Pt. 6), City of London (Various Powers) Bill [Pt. 3), and Glasgow Corporation (Celluloid) Bill : Select Committee on Ind. and Digest of evidence. 3d. . . WYMAN, Jan. 15",164,172,,,"London County Council (Gen. Powers) Bill (Pt. 6), City of London (Various Powers) Bill [Pt. 3), and Glasgow Corporation (Celluloid) Bill : Select Committee on Ind. and Digest of evidence.",,3d. . .,WYMAN,Jan. 15,1915,False
"London County Council-Comparative municipal statistics, 1912–13. Vol. 1. 104x6}, pp. 156, 58. P.S. KING, Sep. 15",164,172,,,"London County Council-Comparative municipal statistics, 1912–13. Vol. 1.",,"104x6}, pp. 156, 58.",P.S. KING,Sep. 15,1915,False
"London County Council-Survey of London. Vol. 6, Hammersmith. 121 plates. 12 X 85, pp. 143, 215... ..P. S. KING, Dec. 15",164,172,,,"London County Council-Survey of London. Vol. 6, Hammersmith.",,"121 plates. 12 X 85, pp. 143, 215...",P. S. KING,Dec. 15,1915,False
"London Diocese book, 1915. Cr. 8vo. is. 6d. net S.P.C.K., Feb. 15",164,172,,,"London Diocese book, 1915.",Cr. 8vo.,is. 6d. net,S.P.C.K.,Feb. 15,1915,False
"London Gazette, ea. Is. ; Supplements, ea. 4d. WYMAN, Jan., &c., 15",164,172,,,"London Gazette, ea. Is. ; Supplements, ea. 4d.",,,WYMAN,"Jan., &c., 15",1915,False
"London in the Sixties. By “ One of the Old Brigade.” Pop. ed. Cr. 8vo., pp. 276, is. net EVERETT, June 15",164,172,,,London in the Sixties. By “ One of the Old Brigade.” Pop. ed.,Cr. 8vo.,"pp. 276, is. net",EVERETT,June 15,1915,False
"London Opinion Summer annual, 1915. 4to., swd., Is. net ..... .OFFICE, May 15",164,172,,,"London Opinion Summer annual, 1915.","4to.,","swd., Is. net ..... .",OFFICE,May 15,1915,False
"London Traffic Branch (Board of Trade)-Report, 1914. With maps, &c., 25. id. WYMAN, Jan. 15",164,172,,,"London Traffic Branch (Board of Trade)-Report, 1914. With maps, &c.,",,25. id.,WYMAN,Jan. 15,1915,False
"London University-Calendar, 1915-1916. 8vo. 8} 5, pp. 808, 6s. net UNIV. OF LONDON PR., Oct. 15",164,172,,,"London University-Calendar, 1915-1916.",8vo.,"8} 5, pp. 808, 6s. net",UNIV. OF LONDON PR.,Oct. 15,1915,False
"London water-colours. 8vo., Is. net BLACK, June 15",164,172,,,London water-colours.,8vo.,Is. net,BLACK,June 15,1915,False
"London, Bishop of. See also Winnington-Ingram (A. F.) London (Chamber of)—Annual accounts for yrs. ending 31st Dec., 1914, and 31st March, 1915. 13d. .WYMAN, July 15",164,172,"London, Bishop of. See also Winnington-Ingram (A. F.) ",,"London (Chamber of)—Annual accounts for yrs. ending 31st Dec., 1914, and 31st March, 1915.",,13d. .,WYMAN,July 15,1915,False
"Longfellow (H. W.)-Evangeline. Ed. with intro, and notes by Alfred B. Gough. 18mo., is. 60. ....(Clarendon Pr.) MILFORD, Sep. 15",164,172,,Longfellow (H. W.),"Evangeline. Ed. with intro, and notes by Alfred B. Gough.",18mo.,is. 60. ....,(Clarendon Pr.) MILFORD,Sep. 15,1915,False
"Longfellow (H. W.)–Evangeline. Ed. by A. B. hoge Gough ; The Song of Hiawatha. Ed. by A. F. Schuster. 18mo., 28. 6d. (Clarendon Pr.), MILFORD, Sep. 15",164,172,,Longfellow (H. W.),Evangeline. Ed. by A. B. hoge Gough ; The Song of Hiawatha. Ed. by A. F. Schuster.,18mo.,28. 6d.,"(Clarendon Pr.), MILFORD",Sep. 15,1915,False
"Longfellow (Henry Wadsworth)-Evangeline. Fcap. 8vo. 6 X 4, pp. 74, 8d. ; swd. 6d. (Oxford plain texts).. (Clarendon Pr.) MILFORD, July 15",165,173,,Longfellow (Henry Wadsworth),Evangeline.,Fcap. 8vo.,"6 X 4, pp. 74, 8d. ; swd. 6d. (Oxford plain texts).",(Clarendon Pr.) MILFORD,July 15,1915,False
"Longfellow (Henry Wadsworth)—Evangeline ; Hiawatha. Fcap. 8vo. 6 X 4, pp. 214, is. 4d. (Oxford plain texts) (Clarendon Pr.) MILFORD, July 15",165,173,,Longfellow (Henry Wadsworth),Evangeline ; Hiawatha.,Fcap. 8vo.,"6 X 4, pp. 214, is. 4d. (Oxford plain texts)",(Clarendon Pr.) MILFORD,July 15,1915,False
"Longfellow (Henry Wadsworth)—Poetical works. With explanatory notes. Cr. 8vo. 7*x57, pr. 749, Ithr. 75. 6d. net....SIMPKIN, Sep. 15",165,173,,Longfellow (Henry Wadsworth),Poetical works. With explanatory notes.,Cr. 8vo.,"7*x57, pr. 749, Ithr. 75. 6d. net....",SIMPKIN,Sep. 15,1915,False
"Longman's Explicit arithmetic. Pupils' ser., Bks. 5 and 6, ea. 5d., 6d. ; swd., 4d., 5d. ; Teachers' ser. Bk. 5, IS. .LONGMANS, Feb. 15",165,173,,,"Longman's Explicit arithmetic. Pupils' ser., Bks. 5 and 6, ea. 5d., 6d. ; swd., 4d., 5d. ; Teachers' ser. Bk. 5, IS.",,,LONGMANS,Feb. 15,1915,False
"Longmore (M. E.)-The Kiddies. Cr. 8vo. 35. 6d. SHAW, Dec. 15",165,173,,Longmore (M. E.),The Kiddies.,Cr. 8vo.,35. 6d.,SHAW,Dec. 15,1915,False
"Longridge (C. N.) and Banister (J. B.)-A Manual for midwives. 2nd ed. Cr. 8vo. 73 X 41, pp. 348, 35. 6d. net ...CHURCHILL, apr. 15",165,173,,Longridge (C. N.) and Banister (J. B.),A Manual for midwives. 2nd ed.,Cr. 8vo.,"73 X 41, pp. 348, 35. 6d. net ...",CHURCHILL,apr. 15,1915,False
"Lonwood (Frank)-Chariots of fire. 8vo. 81x5}, pp. 16, 2d. (Papers for war time) MILFORD, Apr. 15",158,166,,Lonwood (Frank),Chariots of fire.,8vo.,"81x5}, pp. 16, 2d. (Papers for war time)",MILFORD,Apr. 15,1915,False
"Loonard (R. M.) ed.-Songs for music. Fcap. 8vo. 61 X 4), pp. 128, d. net; Ithr. Is. 6d. net (Oxford garlands) . MILFORD, Oct, 15",158,166,,Loonard (R. M.) ed.,Songs for music.,Fcap. 8vo.,"61 X 4), pp. 128, d. net; Ithr. Is. 6d. net (Oxford garlands) .",MILFORD,"Oct, 15",1915,False
"Loong (Y. K.) and Tao (L. K.)- Village and town life in China. 8vo. 87 x 54, pp. 168, 5s. net ALLEN & U., Apr. 15",158,166,,Loong (Y. K.) and Tao (L. K.),Village and town life in China.,8vo.,"87 x 54, pp. 168, 5s. net",ALLEN & U.,Apr. 15,1915,False
"Loos (Beatrice Adelaide)-Alfred the Great, the Truth - teller, maker' of England, 848–899. 8vo. 9 X 51, pp. 510, Ios. 6d. net PUTNAM, Sep. 15",157,165,,Loos (Beatrice Adelaide),"Alfred the Great, the Truth - teller, maker' of England, 848–899.",8vo.,"9 X 51, pp. 510, Ios. 6d. net",PUTNAM,Sep. 15,1915,False
"Lord of Hosts is with us (The), 2(1. BAINES & S., Dec. 15",165,173,,,"Lord of Hosts is with us (The),",,2(1.,BAINES & S.,Dec. 15,1915,False
"Lord's Prayer (The). 32 mo., 6d. (Dean's Rag bks.) DEAN'S RAG Bk. Co., July 15",165,173,,,Lord's Prayer (The).,32 mo.,6d. (Dean's Rag bks.),DEAN'S RAG Bk. Co.,July 15,1915,False
"Lord's Prayer and the Gt. War, Trotter (Canon) 3d. Loti (Pierre)-An Iceland fisher man. 18mo. 7d. net ...COLLINS, July 15",165,173,,,"Lord's Prayer and the Gt. War, Trotter (Canon)",,3d.,,,1915,False
"Lord's Prayer and the Gt. War, Trotter (Canon) 3d. Loti (Pierre)-An Iceland fisher man. 18mo. 7d. net ...COLLINS, July 15",165,173,,Loti (Pierre),An Iceland fisher man.,18mo.,7d. net,COLLINS,July 15,1915,False
"Lord's Prayer in daily life (The). By V. C. B. 18mo. 61 x 41, pp. 92, is. 6d. net NISBET, Aug. 15",165,173,,,Lord's Prayer in daily life (The). By V. C. B.,18mo.,"61 x 41, pp. 92, is. 6d. net",NISBET,Aug. 15,1915,False
"Lorimer (D. L. R., Maj.)- Pashtu. Pt. 1, Syntax of colloquial Pashtu. W. chapters on the Persian and Indian elements in the modern language. Ryl. 8vo. 98 X64, pp. 398, 155. nu (Clarendon Pr.) MILFORD, Nov. 15",165,173,,"Lorimer (D. L. R., Maj.)","Pashtu. Pt. 1, Syntax of colloquial Pashtu. W. chapters on the Persian and Indian elements in the modern language.",Ryl. 8vo.,"98 X64, pp. 398, 155. nu (Clarendon Pr.)",MILFORD,Nov. 15,1915,False
"Lorimer (G.)-The Early days of St. Cuthbert's Church, Edinburgh. Ryl. 8vo., 78. 6d. net W. BLACKWOOD, Apr, 15",165,173,,Lorimer (G.),"The Early days of St. Cuthbert's Church, Edinburgh.",Ryl. 8vo.,78. 6d. net,W. BLACKWOOD,"Apr, 15",1915,False
"Lorimer (Norma)-By the waters of Egypt. 2nd ed., rev. Cr. 8vo. 7 * X 5, pp. 329, 6s. net METHUEN, Oct. 15",165,173,,Lorimer (Norma),"By the waters of Egypt. 2nd ed., rev.",Cr. 8vo.,"7 * X 5, pp. 329, 6s. net",METHUEN,Oct. 15,1915,False
"Lorimer (Norma)-On desert altars. Cr. 8vo. 71 x 47, pp. 356, 6s. ....S. PAUL, May 15",165,173,,Lorimer (Norma),On desert altars.,Cr. 8vo.,"71 x 47, pp. 356, 6s. ....",S. PAUL,May 15,1915,False
"Loring (J. Alden)-African adventure stories. Illus. 8vo. 8 X 5), pp. 314, 6s. net ALLEN & UNWIN, Jan. 15",165,173,,Loring (J. Alden),African adventure stories. Illus.,8vo.,"8 X 5), pp. 314, 6s. net",ALLEN & UNWIN,Jan. 15,1915,False
"Lormontov (Mikhail Y.)—The Heart of a Russian. New ed. Cr. 8vo. 77 x 41, pp. 344, 25. 6d. net HODDER & S., June 15",159,167,,Lormontov (Mikhail Y.),The Heart of a Russian. New ed.,Cr. 8vo.,"77 x 41, pp. 344, 25. 6d. net",HODDER & S.,June 15,1915,False
"Lossing (Bruno)—With the best intention. Cr, 8vo. 73 x 4), pp. 348. 69. HURST & B., July 15",159,167,,Lossing (Bruno),With the best intention.,"Cr, 8vo.","73 x 4), pp. 348. 69.",HURST & B.,July 15,1915,False
"Loti (Pierre)- Jerusalem. Trans. by W. P. Baines. 8vo. 88 x 54, pp. 220, 75. 6d. net LAURIE, Nov. 15",165,173,,Loti (Pierre),Jerusalem. Trans. by W. P. Baines.,8vo.,"88 x 54, pp. 220, 75. 6d. net",LAURIE,Nov. 15,1915,False
"Loti (Pierre)-- Japan. Trans. by Laura Ensor. Illus. by Rossi and Myrbach. 8vo. 9 X 51, pp. 344, 75. 6d. net ..LAURIE, Oct. 15",165,173,,Loti (Pierre),Japan. Trans. by Laura Ensor. Illus. by Rossi and Myrbach.,8vo.,"9 X 51, pp. 344, 75. 6d. net ..",LAURIE,Oct. 15,1915,False
"Louis Clark Vanuxein Foundation-Lectures delivered in connection with the dedication of the Graduate College of Princeton University in October, 1913. By Emile Boutroux, Alois Riehl, A. D. Godley, Arthur Shipley. 7*X5}, pp. 150, 45. od. net...... MILFORD, Jan. 15",165,173,,,"Louis Clark Vanuxein Foundation-Lectures delivered in connection with the dedication of the Graduate College of Princeton University in October, 1913. By Emile Boutroux, Alois Riehl, A. D. Godley, Arthur Shipley.",,"7*X5}, pp. 150, 45. od. net......",MILFORD,Jan. 15,1915,False
"Louisa of Tuscany (Princess)---My own story. Pop. ed. 12mo., pp. 192, is. net NASI, July 15",165,173,,Louisa of Tuscany (Princess),My own story. Pop. ed.,12mo.,"pp. 192, is. net",NASI,July 15,1915,False
"Loundsberry (Charles)— The Happy testament, Illus. by Rachel Marshall. 16mo. 64 x 5, is. net (Harlequin bks.) CHATTO & W., Oct. 15",165,173,,Loundsberry (Charles),"The Happy testament, Illus. by Rachel Marshall.",16mo.,"64 x 5, is. net (Harlequin bks.)",CHATTO & W.,Oct. 15,1915,False
"Love (A. E. H.)--The Transmission of electric waves over the surface of the earth. 4to., pp. 28, swd. is. 6d. net. (Royal Soc.) DULAU, Mar. 15",165,173,,Love (A. E. H.),The Transmission of electric waves over the surface of the earth.,4to.,"pp. 28, swd. is. 6d. net. (Royal Soc.)",DULAU,Mar. 15,1915,False
"Love and war. By “Nadja"" 4th ed. 16mo. 64 x 41, pp. 34, Is. net .. HUMPHREYS, Nov. 15",165,173,,,"Love and war. By ""Nadja""",16mo.,"4th ed. 64 x 41, pp. 34, Is. net ..",HUMPHREYS,Nov. 15,1915,False
"Love and war. By Nadja.” 16mo., pp. 35, bds. is. net HUMPHREYS, Oct. 15",165,173,,,Love and war. By Nadja.”,16mo.,"pp. 35, bds. is. net",HUMPHREYS,Oct. 15,1915,False
"Lovell (Arthur)-Meditation. Cr. 8vo. 71 x 41, pp. 218, 58. net SIMPKIN, July 15",166,174,,Lovell (Arthur),Meditation.,Cr. 8vo.,"71 x 41, pp. 218, 58. net",SIMPKIN,July 15,1915,False
"Lovell (R. Goulburn)---Home interiors : a prac. work on colour decoration and furnishing. Illus. 5 sect. ea. 155. CAXTON PUB. Co., Feb. 15",166,174,,Lovell (R. Goulburn),Home interiors : a prac. work on colour decoration and furnishing.,,Illus. 5 sect. ea. 155.,CAXTON PUB. Co.,Feb. 15,1915,False
"Lovett (Richard)--James Gilmour and his boys. Cheaper ed. Cr. 8vo. 73 x 44, pp. 236, is, net R.T.S., Nov. 15",166,174,,Lovett (Richard),James Gilmour and his boys. Cheaper ed.,Cr. 8vo.,"73 x 44, pp. 236, is, net",R.T.S.,Nov. 15,1915,False
"Lovett (Richard)-Tamate : the life and adven- tures of a Christian hero. 4th impr. Cr. 8vo. 77 x 5, pp. 320, Is. net........R.T.S., Nov. 15",166,174,,Lovett (Richard),Tamate : the life and adven- tures of a Christian hero. 4th impr.,Cr. 8vo.,"77 x 5, pp. 320, Is. net........",R.T.S.,Nov. 15,1915,False
"Lovey (J. H., Capt.)-What to teach on landscape targets. 41x21, pp. 16, 3d. F. GROOM, Sep. 15",159,167,,"Lovey (J. H., Capt.)",What to teach on landscape targets.,,"41x21, pp. 16, 3d.",F. GROOM,Sep. 15,1915,False
"Lovibond (Joseph W.)-Light and colour theories and their relation to light and colour standardi- zation. 8vo. 84 x 54, pp. 102, 6s. net SPON, July 15",166,174,,Lovibond (Joseph W.),Light and colour theories and their relation to light and colour standardi- zation.,8vo.,"84 x 54, pp. 102, 6s. net",SPON,July 15,1915,False
"Low (Sidney) ed.—The Spirit of the Allied Nations. With an intro. by S. L. King's College Lec- tures. Cr. 8vo. 75 X 5, pp. 222, 2s. 6d. net BLACK, June 15",166,174,,Low (Sidney) ed.,The Spirit of the Allied Nations. With an intro. by S. L. King's College Lec- tures.,Cr. 8vo.,"75 X 5, pp. 222, 2s. 6d. net",BLACK,June 15,1915,False
"Low (Sidney)-Samuel Henry Jeyes. Illus. Cr. 8vo., 78. 6d. net ......DUCKWORTH, June 15",166,174,,Low (Sidney),Samuel Henry Jeyes. Illus.,Cr. 8vo.,"78. 6d. net ......DUCKWORTH,",,June 15,1915,False
"Low's Handbook to the charities of London, 1915. Cr. 8vo., pp. 306, swd., is, net LOW, Aug. 15",166,174,,,"Low's Handbook to the charities of London, 1915.",Cr. 8vo.,"pp. 306, swd., is, net",LOW,Aug. 15,1915,False
"Lowe (Paul E.)--Drake's Electrical dictionary Cr. 8vo., 45. 6d. net ...SPON, June 15",166,174,,Lowe (Paul E.),Drake's Electrical dictionary,Cr. 8vo.,45. 6d. net ...,SPON,June 15,1915,False
"Lowell (A. Lawrence) — The Governments of France, Italy and Germany. 8vo. 81 x6, pp. 228, 55. 6d. net .MILFORD, Jan. 15",166,174,,Lowell (A. Lawrence),"The Governments of France, Italy and Germany.",8vo.,"81 x6, pp. 228, 55. 6d. net .",MILFORD,Jan. 15,1915,False
"Lowell (James Russell)-Fireside travels. With an intro. by E. V. Lucas and notes by F. A. Cavanagh. Cr. 8vo. 71 x 51, pp. 270, 35. 60 (Clarendon Pr.), MILFORD, June 15",166,174,,Lowell (James Russell),Fireside travels. With an intro. by E. V. Lucas and notes by F. A. Cavanagh.,Cr. 8vo.,"71 x 51, pp. 270, 35. 60","(Clarendon Pr.), MILFORD",June 15,1915,False
"Lowndes (Hrs. Belloc) --- Barbara Rebell. 12mo., 7d. net ..METHUEN, Feb. 15",166,174,,Lowndes (Hrs. Belloc),Barbara Rebell.,12mo.,7d. net,METHUEN,Feb. 15,1915,False
"Lowndes (Mrs. Belloc) - The Lodger : a novel. 4th and cheaper ed. Cr. 8vo. 78 X 5, pp. 316, 25. net .METHUEN, Feb. 15",166,174,,Lowndes (Mrs. Belloc),The Lodger : a novel. 4th and cheaper ed.,Cr. 8vo.,"78 X 5, pp. 316, 25. net .",METHUEN,Feb. 15,1915,False
"Lowndes (Mrs. Belloc) --Price of admiralty. Popular edit. Cr. 8vo., pp. 158, 19. net NEWNES, Jan. 15",166,174,,Lowndes (Mrs. Belloc),Price of admiralty. Popular edit.,Cr. 8vo.,"pp. 158, 19. net",NEWNES,Jan. 15,1915,False
"Lowndes (Mrs. Belloc)-- When no man pursueth. Pop. ed. Cr. 8vo. 7 x 41, pp. 318, is. net NEWNES, Aug. 15",166,174,,Lowndes (Mrs. Belloc),When no man pursueth. Pop. ed.,Cr. 8vo.,"7 x 41, pp. 318, is. net",NEWNES,Aug. 15,1915,False
"Lowndes (Mrs. Belloc)--Good old Anna. Cr. 8vo. 8 X 5, pp. 398, 6s. ....HUTCHINSON, Nov. 15",166,174,,Lowndes (Mrs. Belloc),Good old Anna.,Cr. 8vo.,"8 X 5, pp. 398, 6s. ....",HUTCHINSON,Nov. 15,1915,False
"Lowrie (Donald)--My life out of prison. Cr. 8vo. 7* x5, pp. 346, 6s. net .....LANE, Nov. 15",166,174,,Lowrie (Donald),My life out of prison.,Cr. 8vo.,"7* x5, pp. 346, 6s. net .....",LANE,Nov. 15,1915,False
"Lowry (T. M.)-Historical intro. to chemistry. Cr. 8vo. 7) * 4), pp. 599, 8s. 6d. net MACMILLAN, Nov. 15",166,174,,Lowry (T. M.),Historical intro. to chemistry.,Cr. 8vo.,"7) * 4), pp. 599, 8s. 6d. net",MACMILLAN,Nov. 15,1915,False
"Loyola (Ignatius, St.) Spiritual exercises. Spanish and Eng. w. continuous commentary by J. Rickaby. 87X5), pp. 234, 5s.net BURYS & O., Sep. 15",166,174,,"Loyola (Ignatius, St.)",Spiritual exercises. Spanish and Eng. w. continuous commentary by J. Rickaby.,,"87X5), pp. 234, 5s.net",BURYS & O.,Sep. 15,1915,False
"Luboff (S. J.)-Hill's English-Russian vest-pocket dictionary and self-instructor, with conversa. tions and idioms. 12mo., pp. 120, is. net HILL. May 15",166,174,,Luboff (S. J.),"Hill's English-Russian vest-pocket dictionary and self-instructor, with conversa. tions and idioms.",12mo.,"pp. 120, is. net",HILL.,May 15,1915,False
"Luboff (S. J.)-Russian-English vest pocket dictionary. 54 x 21, 15. net L. B. HIILL, Nov. 15",166,174,,Luboff (S. J.),Russian-English vest pocket dictionary.,,"54 x 21, 15. net",L. B. HIILL,Nov. 15,1915,False
"Lucas (E. V.) ed.--A Book of verses for children. Cheaper ed. Cr. 8vo. 78 X 51, pp. 360, 55. net CHATTO & W., Nov. 15",166,174,,Lucas (E. V.) ed.,A Book of verses for children. Cheaper ed.,Cr. 8vo.,"78 X 51, pp. 360, 55. net",CHATTO & W.,Nov. 15,1915,False
"Lucas (E. V.) ed.-Her infinite variety: a feminine portrait gallery. 7th and cheaper ed. Cr. 8vo. 7 X4}, pp. 388, 2s. 6d. net METHUEN, Dec. 15",166,174,,Lucas (E. V.),ed.-Her infinite variety: a feminine portrait gallery. 7th and cheaper ed.,Cr. 8vo.,"7 X4}, pp. 388, 2s. 6d. net",METHUEN,Dec. 15,1915,False
"Lucas (E. V.)--Landmarks. 3rd ed. Cr. Svo. 73 X5, pp. 316, 2s. net .METHUEN, Oct. 15",166,174,,Lucas (E. V.),Landmarks. 3rd ed.,Cr. Svo.,"73 X5, pp. 316, 2s. net .",METHUEN,Oct. 15,1915,False
"Lucas (E. V.)--The Gentlest art : a choice of letters by entertaining hands. New and cheaper ed. Or. 8vo. 7X45, pp. 438, 25. 6d. net METHUEX, Nov. 15",166,174,,Lucas (E. V.),The Gentlest art : a choice of letters by entertaining hands. New and cheaper ed.,Or. 8vo.,"7X45, pp. 438, 25. 6d. net",METHUEX,Nov. 15,1915,False
"Lucas (E. V.)-Character and comedy. New and cheaper ed. Cr. 8vo. 7 x 41, pp. 248, 25. 6d. net METHUEN, Nov. 15",166,174,,Lucas (E. V.),Character and comedy. New and cheaper ed.,Cr. 8vo.,"7 x 41, pp. 248, 25. 6d. net",METHUEN,Nov. 15,1915,False
"Lucas (E. V.)-Landmarks. 5th ed. Cr. 8vo. 7x4), pp. 308, 5s. METHUEN, Nov. 15",166,174,,Lucas (E. V.),Landmarks. 5th ed.,Cr. 8vo.,"7x4), pp. 308, 5s.",METHUEN,Nov. 15,1915,False
"Lucas (E. V.)-Listener's lure: an oblique narration. Ilth and cheaper ed. Cr. Svo. 7 X 41, pp. 292, 25. 6d. net METUVEX, Dec. 15",166,174,,Lucas (E. V.),Listener's lure: an oblique narration. Ilth and cheaper ed.,Cr. Svo.,"7 X 41, pp. 292, 25. 6d. net",METUVEX,Dec. 15,1915,False
"Lucas (E. V.)-Loiterer's harvest : a book of essays. New and cheaper ed. Cr. 8vo. 7 x 4}, pp. 264, 25. 6d, net .METHUEN, Nov. 15",166,174,,Lucas (E. V.),Loiterer's harvest : a book of essays. New and cheaper ed.,Cr. 8vo.,"7 x 4}, pp. 264, 25. 6d, net .",METHUEN,Nov. 15,1915,False
"Lucas (E. V.)-London lavender. New and cheaper ed. Cr. 8vo. 7* 4, pp. 300, 25. 6d. net METHUEN, Nov. 15",166,174,,Lucas (E. V.),London lavender. New and cheaper ed.,Cr. 8vo.,"7* 4, pp. 300, 25. 6d. net",METHUEN,Nov. 15,1915,False
"Lucas (E. V.)-Mr. Ingleside. IIth and cheaper ed. Cr. 8vo. 7 X41, pp. 328, 25. 6d. net METHUEN, Dec. 15",ADDED,ADDED,,Lucas (E. V.),Mr. Ingleside. IIth and cheaper ed.,Cr. 8vo.,"7 X41, pp. 328, 25. 6d. net",METHUEN,Dec. 15,1915,False
